Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0, 224, 224, 3, 3, 3, 64, 1,
features_3, 224, 224, 3, 3, 64, 64, 1,
features_7, 112, 112, 3, 3, 64, 128, 1,
features_10, 112, 112, 3, 3, 128, 128, 1,
features_14, 56, 56, 3, 3, 128, 256, 1,
features_17, 56, 56, 3, 3, 256, 256, 1,
features_20, 56, 56, 3, 3, 256, 256, 1,
features_23, 56, 56, 3, 3, 256, 256, 1,
features_27, 28, 28, 3, 3, 256, 512, 1,
features_30, 28, 28, 3, 3, 512, 512, 1,
features_33, 28, 28, 3, 3, 512, 512, 1,
features_36, 28, 28, 3, 3, 512, 512, 1,
features_40, 14, 14, 3, 3, 512, 512, 1,
features_43, 14, 14, 3, 3, 512, 512, 1,
features_46, 14, 14, 3, 3, 512, 512, 1,
features_49, 14, 14, 3, 3, 512, 512, 1,
classifier_0, 1, 1, 1, 1, 25088, 4096, 1,
classifier_3, 1, 1, 1, 1, 4096, 4096, 1,
classifier_6, 1, 1, 1, 1, 4096, 1000, 1,
